"统一编号","项号","商品编号","商品名称","规格型号","海关编号","提运单号"
"I20220000939896159","1"," 8412909090","底座","0|3|阀门定位器用，固定零部件用|无中文品牌名称，无外文品牌名称|C73451-A430-C1"," 090220221000105883","18032914840_5048664935"
"I20220000940336507","1"," 4504100090","滤波片/ about 6 g/pc","0|3|片状、土黄色|||压制软木，非天然木","","9230944645"
"I20220000940339033","1"," 4504100090","滤波片/ about 6 g/pc","0|3|片状、土黄色|||压制软木，非天然木","","9230944656"
"I20220000940517119","1"," 8438900000","喷嘴（铃木面工面条生产线专用）","0|3|适用于铃木牌面条生产机，喷出液体呈雾状的喷嘴|无中文品牌名称，无外文品牌名称|无型号","","18032914291_7849324464"
"I20220000940517119","2"," 8438900000","喷嘴（铃木面工面条生产线专用）","0|3|适用于铃木牌面条生产机，喷出液体呈雾状的喷嘴|无中文品牌名称，无外文品牌名称|无型号","","18032914291_7849324464"
"I20220000940517119","3"," 8438900000","喷嘴（铃木面工面条生产线专用）","0|3|适用于铃木牌面条生产机，喷出液体的喷嘴|无中文品牌名称，无外文品牌名称|无型号","","18032914291_7849324464"
"I20220000940517119","4"," 8438900000","分拣装置框架","0|3|适用于铃木牌面条生产机，用于配套安装分拣装置|无中文品牌名称，无外文品牌名称|无型号","","18032914291_7849324464"
"I20220000940517119","5"," 8438900000","导向基座","0|3|适用于铃木牌面条生产机，用于固定输送装置的基座|无中文品牌名称，无外文品牌名称|无型号","","18032914291_7849324464"
"I20220000940517119","6"," 8438900000","导向板","0|3|适用于铃木牌面条生产机，用此板将输送线上的物品归拢|无中文品牌名称，无外文品牌名称|无型号","","18032914291_7849324464"
"I20220000940517119","7"," 8438900000","输送装置止动架","0|3|适用于铃木牌面条生产机，通过此装置，将输送带上物品对齐|无中文品牌名称，无外文品牌名称|无型号","","18032914291_7849324464"
"I20220000940517119","8"," 8438900000","输送装置止动架","0|3|适用于铃木牌面条生产机，通过此装置，将输送带上物品对齐|无中文品牌名称，无外文品牌名称|无型号","","18032914291_7849324464"
"I20220000940517119","9"," 9031499090","光电传感器","4|3|通过此装置确认输送带上是否有物品|确认输送带上是否有物品的功能|Keyence|型号：PR-G51N","","18032914291_7849324464"
"I20220000940517119","10"," 8438900000","固定支架","0|3|适用于铃木牌面条生产线的面条加工机，用于固定传感器|无中文品牌名称，无外文品牌名称|无型号","","18032914291_7849324464"
"I20220000940517119","11"," 3917400000","三通接头","4|3|尼龙，聚氨酯","","18032914291_7849324464"
"I20220000940517119","12"," 3917400000","三通接头","4|3|尼龙，聚氨酯","","18032914291_7849324464"
"I20220000940517119","13"," 3917320000","软管","4|3|聚氨酯|未装有附件|0.8MPA|未经加强或与其他材料合制|软管|SMC|TU0604B|用于面条加工机","","18032914291_7849324464"
"I20220000940517119","14"," 3917320000","软管","4|3|聚氨酯|未装有附件|0.8MPA|未经加强或与其他材料合制|软管|SMC|TU0805B|面条加工机用","","18032914291_7849324464"
"I20220000940517119","15"," 7318159090","螺栓","0|3|不锈钢|抗拉强度700MPa|无中文品牌名称，无外文品牌名称|无型号|杆径6mm","","18032914291_7849324464"
"I20220000940517119","16"," 7318159090","螺栓","0|3|不锈钢|抗拉强度700MPa|无中文品牌名称，无外文品牌名称|无型号|杆径6mm","","18032914291_7849324464"
"I20220000940517119","17"," 7318220001","垫圈","0|3|不锈钢|无中文品牌名称，无外文品牌名称|无型号||||<><><0><><>","","18032914291_7849324464"
"I20220000940517119","18"," 7318160000","螺母","0|3|不锈钢|无中文品牌名称，无外文品牌名称|无型号","","18032914291_7849324464"
"I20220000940517119","19"," 8438900000","导轨支架","0|3|适用于铃木牌面条生产机，用于安装导轨的支架|无中文品牌名称，无外文品牌名称|无型号","","18032914291_7849324464"
"I20220000940649689","1"," 8708999990","支架","4|3|适用于劳斯莱斯库里南轿车用/排量6750CC|劳斯莱斯牌|型号61139368538","","18032914560_3896892075"
"I20220000940649689","2"," 8708920000","前部消声器","4|3|适用于劳斯莱斯库里南轿车排气管用/排量6750CC|非成套散件，非毛胚件|非通用零件|非常成套散件，无完整零件编号|劳斯莱斯牌|型号18308685569|S/18308685569","","18032914560_3896892075"
"I20220000940649689","3"," 8708920000","中部消声器","4|3|适用于劳斯莱斯库里南轿车排气管用/排量6750CC|非成套散件，非毛胚件|非通用件|非常成套散件，无完整零件编号|劳斯莱斯牌|型号18308685570|S/18308685570","","18032914560_3896892075"
"I20220000940649689","4"," 8708920000","后部消声器","4|3|适用于劳斯莱斯库里南轿车排气管用/排量6750CC|非成套散件，非毛胚件|非通用件|非常成套散件，无完整零件编号|劳斯莱斯牌|型号18308685571|S/18308685571","","18032914560_3896892075"
"I20220000940649689","5"," 8708999990","支架","4|3|适用于劳斯莱斯库里南轿车用/排量6750CC|劳斯莱斯牌|41008496960","","18032914560_3896892075"
"I20220000940649689","6"," 8708999990","支架","4|3|适用于劳斯莱斯库里南轿车用/排量6750CC|劳斯莱斯牌|51717404366","","18032914560_3896892075"
"I20220000940649689","7"," 8708100000","保险杠","4|3|非成套散件或毛佩|非生产件的通用零件|非成套散件，无完整品的零部件的编号|劳斯莱斯|适用于劳斯莱斯魅影轿车用/排量6600CC|51127448711|W/51127448711","","18032914560_3896892075"
"I20220000940649689","8"," 8708295900","饰条","4|3|劳斯莱斯|适用于劳斯莱斯库里南轿车用/排量6750CC|51127448723","","18032914560_3896892075"
"I20220000941015183","1"," 3926901000","塑料制密封件","4|3|用于车用连接器的防水密封|PA66制|泰科，TE|33240013","","4049121355"
"I20220000941060097","1"," 8541290000","晶体管","4|3|62W|Nexperia安世|A2C0310970000","","18032914840_1563932646"
"I20220000941060275","1"," 8532241000","片式多层瓷介电容","4|3|多层、片式|瓷介|AVX安施|A2C4000659300","","1872126060"
"I20220000960180831","1"," 9032899099","水质监测控制仪表","4|3|能够提供在线实时测量监控系统|它将测量信号与给定值比较后，对偏差信号按一定的控制规律进行运算，并将运行结果以规定的信号输出|能够对水质参数如PH,温度等进行测量和控制|普罗名特|DACBW006AA4000000010EN","","6045578313"
